k,acc,sens,spec
1,0.7708769578691682,0.67877476656798,0.8244568097509274
2,0.7615796967920261,0.6612388977453882,0.8199523052464229
3,0.7667308819834155,0.6452971988157595,0.8373741388447271
4,0.7617472150096323,0.6343657481211569,0.8358505564387917
5,0.7646787838177401,0.6224094739239353,0.8474430312665607
6,0.7638830722841109,0.6162605329082214,0.8497615262321144
7,0.7643437473825279,0.6038487815987247,0.8577106518282989
8,0.7630873607504816,0.6022546117057618,0.8566507684154743
9,0.7628360834240724,0.5967888863584605,0.8594329623741388
10,0.7633805176312924,0.5951947164654976,0.8612215156332803
11,0.7624591674344585,0.5838077886586199,0.8663884472708002
12,0.7607839852583969,0.5852880892735141,0.8628775834658188
13,0.7616215763464278,0.5806194488726941,0.8669183889772125
14,0.7585224893207136,0.5740150307447051,0.8658585055643879
15,0.7588575257559259,0.5705989524026418,0.8683757286698464
16,0.7566797889270458,0.5669551355044409,0.8670508744038156
17,0.7565960298182426,0.5624003643816898,0.869568097509274
18,0.7557584387302119,0.5619448872694147,0.8685082140964494
19,0.7562191138286287,0.5606923252106581,0.8699655537890832
20,0.7554652818494012,0.5586426782054201,0.8699655537890832
21,0.7550883658597872,0.55773172398087,0.8698993110757817
22,0.7538738587821424,0.5553404691414257,0.8693693693693694
23,0.7536644610101348,0.5528353450239125,0.8704954954954955
24,0.753287545020521,0.5527214757458437,0.8699655537890832
25,0.7535807019013318,0.5504440901844683,0.8717541070482246
26,0.7509004104196332,0.5457754497836483,0.8702305246422893
27,0.7500209397772007,0.5409929401047597,0.8716216216216216
28,0.7482201189379345,0.5364381689820087,0.871422893481717
29,0.7483876371555407,0.5373491232065589,0.8711579226285109
30,0.7469218527514867,0.5348439990890458,0.8702967673555909
31,0.747173130077896,0.5319972671373263,0.8723502914679385
32,0.7468380936426837,0.5299476201320884,0.8730127186009539
33,0.7461261412178574,0.5288089273514006,0.8725490196078431
34,0.7448697545858113,0.5258483261216124,0.8722840487546369
35,0.743320211072954,0.5222045092234116,0.8719528351881293
36,0.74269201775693106,0.5210658164427238,0.8716216216216216
37,0.742608258648128,0.519927123662036,0.8721515633280339
38,0.7423151017673172,0.5201548622181735,0.8715553789083201
39,0.7416450288968925,0.5183329537690731,0.8715553789083201
40,0.7413099924616802,0.5184468230471418,0.8709591944886063
41,0.741686908451294,0.5162833067638352,0.8728139904610492
42,0.7408074378088617,0.5138920519243908,0.8728139904610492
43,0.7394672920680123,0.5130949669779094,0.8711579226285109
44,0.7405561604824524,0.5134365748121157,0.8726815050344462
45,0.7394254125136108,0.51024823502619,0.8727477477477478
46,0.7395091716224139,0.5083124572990207,0.874006359300477
47,0.7388809783063909,0.5047825096788886,0.8750662427133016
48,0.7383784236535723,0.5052379867911637,0.874006359300477
49,0.7400536058296339,0.50557959462537,0.8764573396926338
50,0.7402630036016418,0.5070598952402642,0.8759273979862215
51,0.7398023285032247,0.5072876337964017,0.8750662427133016
52,0.7392578942960045,0.5051241175130949,0.8754636989931107
53,0.7387972191975878,0.5029606012297883,0.875993640699523
54,0.7387134600887848,0.5013664313368253,0.8767885532591415
55,0.7381690258815645,0.5015941698929629,0.8757949125596184
56,0.7372476756847307,0.49783648371669326,0.8765235824059353
57,0.7375827121199431,0.49863356866317465,0.8765898251192369
58,0.7367451210319121,0.4998861307219312,0.8745363010068893
59,0.735949409498283,0.4993167843315873,0.8736089030206677
60,0.7356562526174721,0.4981780915508996,0.8738076311605724
61,0.7351118184102521,0.49635618310179913,0.874006359300477
62,0.734483625094229,0.49430653609656117,0.8742050874403816
63,0.7333528771253874,0.4924846276474607,0.8734764175940647
64,0.7326409247005611,0.4889546800273286,0.8744038155802861
65,0.7335622748973951,0.4877021179685721,0.8765898251192369
66,0.7334785157885919,0.4878159872466409,0.8763910969793323
67,0.7338973113326074,0.4871327715782282,0.8774509803921569
68,0.7336460340061981,0.487246640856297,0.8769872813990461
69,0.7344417455398274,0.4880437258027784,0.8777821939586645
70,0.7333528771253873,0.48747437941243454,0.8763910969793323
71,0.7332272384621829,0.4856524709633341,0.8772522522522522
72,0.7333528771253873,0.4854247324071965,0.8775834658187599
73,0.7320546109389396,0.48405830107037123,0.8763248542660307
74,0.7310076220789011,0.48223639262127077,0.8757286698463169
75,0.7314682971773181,0.48394443179230245,0.8754636989931107
76,0.7314682971773181,0.48246413117740833,0.8763248542660307
77,0.7310495016333026,0.48178091550899566,0.8760598834128246
78,0.7304631878716811,0.47995900705989525,0.8761923688394276
79,0.7305888265348857,0.47756775222045095,0.8777821939586645
80,0.730086271882067,0.4767706672739695,0.8774509803921569
81,0.731007622078901,0.4767706672739695,0.8789083200847907
82,0.7305050674260827,0.4762013208836256,0.8784446210916799
83,0.7315520562861211,0.47654292871783194,0.8799019607843137
84,0.7311751402965072,0.4762013208836256,0.8795045045045045
85,0.7307144651980902,0.4739239353222501,0.8801006889242183
86,0.7308401038612949,0.4747210202687315,0.8798357180710122
87,0.7293324399028394,0.4702801184240492,0.8800344462109168
88,0.7304213083172795,0.47062172625825555,0.8815580286168522
89,0.730379428762878,0.4716465497608745,0.8808956014838368
90,0.7304213083172795,0.4710772033705306,0.881293057763646
91,0.7297512354468548,0.46834434069687997,0.8818229994700583
92,0.7290811625764302,0.4675472557503985,0.8812268150503445
93,0.7302119105452718,0.46845820997494875,0.8824854266030736
94,0.7298768741100594,0.4685720792530175,0.8818892421833598
95,0.7302537900996733,0.46891368708722386,0.8822866984631691
96,0.7298768741100594,0.4685720792530175,0.8818892421833598
97,0.7291649216852334,0.4657253473012981,0.8824191838897721
98,0.7292905603484379,0.4648143930767479,0.8831478537360891
99,0.7289555239132255,0.46356183101799137,0.8833465818759937
100,0.7287042465868163,0.46265087679344113,0.8834790673025967
