n,metric,value
10,acc,0.708099505821258
20,acc,0.718778792193651
30,acc,0.7163916575927632
40,acc,0.7082670240388642
50,acc,0.7151352709607169
60,acc,0.7159309824943463
70,acc,0.717773682888014
80,acc,0.7077644693860458
90,acc,0.7154703073959293
100,acc,0.7206214925873189
10,sens,0.21760419038943293
20,sens,0.32395809610567067
30,sens,0.2435663857891141
40,sens,0.22705534046914141
50,sens,0.24925984969255294
60,sens,0.24333864723297655
70,sens,0.2645183329537691
80,sens,0.22694147119107264
90,sens,0.240036438168982
100,sens,0.2678205420177636
10,spec,0.9934419713831478
20,spec,0.9484631690514044
30,spec,0.9914546899841018
40,spec,0.9882087970323264
50,spec,0.9861552729199788
60,spec,0.9908585055643879
70,spec,0.9814520402755696
80,spec,0.9874801271860095
90,spec,0.9920508744038156
100,spec,0.9840355060943297
